page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
77,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbv31474,Aalst,9300,house,house,298000.0,3.0,171.0,N/A,0.0,1.0,20.0,1.0,138.0,N/A,N/A,N/A,Excellent,N/A
78,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv31472,Aalst,9300,appartment,flat,850000.0,9.0,730.0,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,Normal,N/A
79,https://immovlan.be/en/detail/commercial-building/for-sale/9300/aalst/rbv31471,Aalst,9300,entreprise,commerceBuilding,350000.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Normal,N/A
80,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv31107,Aalst,9300,appartment,flat,599000.0,4.0,0.0,N/A,N/A,1.0,28.0,1.0,N/A,N/A,N/A,N/A,Excellent,1992
81,https://immovlan.be/en/detail/villa/for-sale/9300/aalst/rbv31018,Aalst,9300,house,villa,895000.0,4.0,390.0,N/A,0.0,1.0,12.0,1.0,1300.0,N/A,N/A,1.0,Normal,N/A
82,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv30492,Aalst,9300,appartment,flat,235000.0,2.0,89.0,Fully equipped,1.0,1.0,6.0,N/A,N/A,N/A,2,N/A,Normal,N/A
83,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv30408,Aalst,9300,appartment,flat,374000.0,3.0,130.0,N/A,N/A,1.0,N/A,1.0,N/A,N/A,2,N/A,New,2026
84,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbu65139,Aalst,9300,appartment,flat,327600.0,2.0,91.0,Super equipped,0.0,1.0,14.0,N/A,N/A,N/A,2,0.0,New,2024
85,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbu65136,Aalst,9300,appartment,flat,405434.0,2.0,106.0,Super equipped,0.0,1.0,8.0,1.0,N/A,N/A,2,0.0,New,2024
86,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbu65138,Aalst,9300,appartment,flat,456584.0,2.0,110.0,Super equipped,0.0,1.0,25.0,1.0,N/A,N/A,2,0.0,New,2024
87,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbi99217,Aalst,9300,appartment,flat,343178.0,2.0,91.0,N/A,N/A,1.0,14.0,1.0,N/A,N/A,2,N/A,New,N/A
88,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbi99214,Aalst,9300,appartment,flat,360900.0,2.0,99.0,N/A,N/A,1.0,13.0,1.0,13.0,N/A,2,N/A,New,N/A
89,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbi99240,Aalst,9300,appartment,flat,382159.0,2.0,106.0,N/A,N/A,1.0,8.0,1.0,N/A,N/A,2,N/A,New,N/A
90,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbi99259,Aalst,9300,appartment,flat,411069.0,2.0,105.0,N/A,N/A,1.0,31.0,1.0,31.0,N/A,2,N/A,New,N/A
91,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbi99264,Aalst,9300,appartment,flat,419758.0,3.0,117.0,N/A,N/A,1.0,18.0,1.0,N/A,N/A,2,N/A,New,N/A
92,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbi99249,Aalst,9300,appartment,flat,430995.0,2.0,110.0,N/A,N/A,1.0,25.0,1.0,N/A,N/A,2,N/A,New,N/A
93,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv02693,Aalst,9300,appartment,flat,353000.0,2.0,99.0,Super equipped,0.0,1.0,13.0,N/A,N/A,N/A,2,0.0,New,2024
94,https://immovlan.be/en/detail/duplex/for-sale/9300/aalst/rbv02694,Aalst,9300,appartment,duplex,409500.0,3.0,117.0,Super equipped,0.0,1.0,18.0,N/A,N/A,N/A,2,0.0,New,2024
95,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbv02692,Aalst,9300,house,house,418240.0,3.0,132.0,Super equipped,0.0,1.0,14.0,1.0,N/A,N/A,2,0.0,New,2024
96,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbv02690,Aalst,9300,house,house,418260.0,3.0,131.0,Super equipped,0.0,1.0,13.0,N/A,N/A,N/A,2,0.0,New,2024
97,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbv02691,Aalst,9300,house,house,418310.0,3.0,132.0,Super equipped,0.0,1.0,15.0,1.0,N/A,N/A,2,0.0,New,2024
98,https://immovlan.be/en/detail/apartment/for-sale/9880/aalter/rbu73773,Aalter,9880,appartment,flat,395000.0,2.0,0.0,N/A,N/A,1.0,N/A,1.0,N/A,N/A,2,N/A,New,2026
99,https://immovlan.be/en/detail/apartment/for-sale/9880/aalter/rbu73772,Aalter,9880,appartment,flat,482000.0,3.0,0.0,N/A,N/A,1.0,N/A,1.0,N/A,N/A,3,N/A,New,2026
100,https://immovlan.be/en/detail/apartment/for-sale/9880/aalter/rbu73771,Aalter,9880,appartment,flat,510000.0,3.0,0.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,2,N/A,New,2026
101,https://immovlan.be/en/detail/apartment/for-sale/9880/aalter/rbu73770,Aalter,9880,appartment,flat,590000.0,3.0,0.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,3,N/A,New,2026
102,https://immovlan.be/en/detail/development-site/for-sale/9880/aalter/rbe39007,Aalter,9880,land,developmentSite,127930.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,494.0,N/A,N/A,N/A,N/A
103,https://immovlan.be/en/detail/development-site/for-sale/9880/aalter/rbe39001,Aalter,9880,land,developmentSite,141700.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,545.0,N/A,N/A,N/A,N/A
104,https://immovlan.be/en/detail/residence/for-sale/9880/aalter/rbt82978,Aalter,9880,house,house,440303.0,N/A,176.0,N/A,N/A,0.0,N/A,1.0,N/A,350.0,3,N/A,New,2026
105,https://immovlan.be/en/detail/development-site/for-sale/9880/aalter/rbe38998,Aalter,9880,land,developmentSite,61600.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,220.0,N/A,N/A,N/A,N/A
106,https://immovlan.be/en/detail/development-site/for-sale/9880/aalter/rbe38997,Aalter,9880,land,developmentSite,78300.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,290.0,N/A,N/A,N/A,N/A
107,https://immovlan.be/en/detail/development-site/for-sale/9880/aalter/rbe38999,Aalter,9880,land,developmentSite,90000.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,300.0,N/A,N/A,N/A,N/A
108,https://immovlan.be/en/detail/development-site/for-sale/9880/aalter/rbe39006,Aalter,9880,land,developmentSite,97500.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,350.0,N/A,N/A,N/A,N/A
109,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbv01896,Aarschot,3200,appartment,flat,329000.0,2.0,93.0,N/A,0.0,1.0,20.0,N/A,N/A,N/A,3,N/A,New,2026
110,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbv01899,Aarschot,3200,appartment,flat,349000.0,2.0,98.0,N/A,0.0,1.0,17.0,N/A,N/A,N/A,3,N/A,New,2026
111,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbv01900,Aarschot,3200,appartment,flat,369000.0,2.0,101.0,N/A,0.0,1.0,15.0,N/A,N/A,N/A,3,N/A,New,2026
112,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbv01898,Aarschot,3200,appartment,flat,379000.0,2.0,113.0,N/A,0.0,1.0,17.0,N/A,N/A,N/A,3,N/A,New,2026
113,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbv01897,Aarschot,3200,appartment,flat,369000.0,3.0,103.0,N/A,0.0,1.0,26.0,N/A,N/A,N/A,3,N/A,New,2026
114,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vbd74354,Hannut,4280,appartment,flat,251983.0,1.0,66.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
115,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vbd74351,Hannut,4280,appartment,flat,322645.0,2.0,92.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
116,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vbd74353,Hannut,4280,appartment,flat,337645.0,2.0,91.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
117,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vbd74352,Hannut,4280,appartment,flat,347645.0,2.0,104.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
118,https://immovlan.be/en/detail/apartment/for-sale/4280/hannut/vbd74355,Hannut,4280,appartment,flat,575041.0,3.0,140.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
119,https://immovlan.be/en/detail/studio/for-sale/4280/hannut/vbd74350,Hannut,4280,appartment,flatStudio,185322.0,N/A,44.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
120,https://immovlan.be/en/detail/apartment/for-sale/5590/ciney/vbd74381,Ciney,5590,appartment,flat,297645.0,2.0,88.0,N/A,N/A,1.0,14.0,N/A,N/A,N/A,N/A,N/A,Excellent,N/A
121,https://immovlan.be/en/detail/apartment/for-sale/5590/ciney/vbd74401,Ciney,5590,appartment,flat,229322.0,1.0,60.0,N/A,N/A,1.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
122,https://immovlan.be/en/detail/apartment/for-sale/5590/ciney/vbd74391,Ciney,5590,appartment,flat,249322.0,1.0,67.0,N/A,N/A,1.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
123,https://immovlan.be/en/detail/apartment/for-sale/5590/ciney/vbd74390,Ciney,5590,appartment,flat,259322.0,1.0,67.0,N/A,N/A,1.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
124,https://immovlan.be/en/detail/apartment/for-sale/5590/ciney/vbd74387,Ciney,5590,appartment,flat,278719.0,2.0,80.0,N/A,N/A,1.0,21.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
