page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
178,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu50470,Sint-Truiden,3800,house,house,795000,6,486,,,False,,True,,7956 m²,4,,,1875
179,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu40967,Sint-Truiden,3800,house,house,189000,3,215,,,True,30 m²,,,365 m²,3,,,1850
180,https://immovlan.be/en/detail/mixed-building/for-sale/3800/sint-truiden/rbu34230,Sint-Truiden,3800,house,mixedBuilding,475000,4,393,,,False,,,,120 m²,,,,1948
181,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu34227,Sint-Truiden,3800,house,house,890000,4,275,,,False,,True,,2850 m²,,,,1976
182,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/vbd29902,Sint-Truiden,3800,house,house,395000,4,179,Partially equipped,False,True,25 m²,True,,595 m²,3,False,Normal,1970
183,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu24774,Sint-Truiden,3800,appartment,flat,169000,2,0,,,False,,,,,,,Excellent,1968
184,https://immovlan.be/en/detail/mixed-building/for-sale/3800/sint-truiden/rbu28436,Sint-Truiden,3800,house,mixedBuilding,439000,3,321,,,True,,True,,315 m²,2,,Normal,1952
185,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu24799,Sint-Truiden,3800,house,house,275000,5,0,,,False,,True,,199 m²,,,To be renovated,1934
186,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu24795,Sint-Truiden,3800,appartment,flat,298000,1,0,,,True,,,,,,,Excellent,2021
187,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu24780,Sint-Truiden,3800,house,house,449000,4,0,,,True,,True,,319 m²,,,Excellent,1930
188,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu24777,Sint-Truiden,3800,house,house,239000,2,0,,,False,,True,,149 m²,,,To be renovated,1977
189,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu24746,Sint-Truiden,3800,house,house,315000,3,0,,,True,,True,,269 m²,3,,Excellent,1980
190,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu24741,Sint-Truiden,3800,house,house,899000,6,0,,,True,,True,,509 m²,2,,Excellent,1850
191,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu23205,Sint-Truiden,3800,house,house,394360,3,128,,False,True,17 m²,,,,2,,New,2026
192,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu23204,Sint-Truiden,3800,house,house,394360,3,128,,False,True,17 m²,,,,2,,New,2026
193,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu23203,Sint-Truiden,3800,house,house,410805,3,128,,False,True,15 m²,,,,,,New,2026
194,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu01042,Sint-Truiden,3800,appartment,flat,369314,2,88,,False,True,13 m²,,,,2,,New,2025
195,https://immovlan.be/en/detail/penthouse/for-sale/3800/sint-truiden/rbu01041,Sint-Truiden,3800,appartment,penthouse,562387,3,133,,False,True,35 m²,,,,2,,New,2025
196,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu01040,Sint-Truiden,3800,appartment,flat,366885,2,88,,False,True,13 m²,,,,2,,New,2025
197,https://immovlan.be/en/detail/penthouse/for-sale/3800/sint-truiden/rbu01039,Sint-Truiden,3800,appartment,penthouse,567182,3,134,,False,True,45 m²,,,,2,,New,2025
198,https://immovlan.be/en/detail/penthouse/for-sale/3800/sint-truiden/rbu01038,Sint-Truiden,3800,appartment,penthouse,591283,3,136,,False,True,45 m²,,,,2,,New,2025
199,https://immovlan.be/en/detail/penthouse/for-sale/3800/sint-truiden/rbu01036,Sint-Truiden,3800,appartment,penthouse,599753,3,136,,False,True,45 m²,,,,2,,New,2025
