page_number,url
14,https://immovlan.be/en/detail/residence/for-sale/5060/tamines/vbd84380
14,https://immovlan.be/en/detail/residence/for-sale/5060/tamines/vbd84379
14,https://immovlan.be/en/detail/residence/for-sale/5060/tamines/vbd59226
14,https://immovlan.be/en/detail/villa/for-sale/5060/tamines/vbd37615
14,https://immovlan.be/en/detail/residence/for-sale/5060/moignelee/vbc94112
14,https://immovlan.be/en/detail/residence/for-sale/5060/auvelais/vay76474
14,https://immovlan.be/en/detail/apartment/for-sale/5060/auvelais/vbd50162
14,https://immovlan.be/en/detail/residence/for-sale/5060/auvelais/vbd19583
14,https://immovlan.be/en/detail/residence/for-sale/5060/arsimont/vbd23235
14,https://immovlan.be/en/detail/mixed-building/for-sale/5060/velaine-sur-sambre/vbd67598
15,https://immovlan.be/en/detail/apartment/for-sale/5060/auvelais/vbd79908
15,https://immovlan.be/en/detail/apartment/for-sale/5060/arsimont/vbd79256
15,https://immovlan.be/en/detail/apartment/for-sale/5060/tamines/vbd79273
15,https://immovlan.be/en/detail/mixed-building/for-sale/5060/velaine-sur-sambre/vbd67598
15,https://immovlan.be/en/detail/residence/for-sale/5060/auvelais/vbb05402
15,https://immovlan.be/en/detail/apartment/for-sale/5060/tamines/vbd70857
15,https://immovlan.be/en/detail/residence/for-sale/5060/arsimont/vbd74581
15,https://immovlan.be/en/detail/mixed-building/for-sale/5060/auvelais/vbc04560
15,https://immovlan.be/en/detail/residence/for-sale/5060/tamines/vbd79278
15,https://immovlan.be/en/detail/residence/for-sale/5060/auvelais/vbd83166
15,https://immovlan.be/en/detail/master-house/for-sale/5060/moignelee/vbd39754
15,https://immovlan.be/en/detail/apartment/for-sale/5060/arsimont/vbd79255
15,https://immovlan.be/en/detail/residence/for-sale/5060/velaine-sur-sambre/vbd52889
15,https://immovlan.be/en/detail/mixed-building/for-sale/5060/auvelais/vbd41622
15,https://immovlan.be/en/detail/residence/for-sale/5060/arsimont/vbd74580
15,https://immovlan.be/en/detail/mixed-building/for-sale/5060/auvelais/vbd58843
15,https://immovlan.be/en/detail/apartment/for-sale/5060/tamines/vbd79307
15,https://immovlan.be/en/detail/residence/for-sale/5060/falisolle/vbd80384
15,https://immovlan.be/en/detail/residence/for-sale/5060/falisolle/vbd82836
15,https://immovlan.be/en/detail/residence/for-sale/5060/tamines/vbd84378
16,https://immovlan.be/en/detail/residence/for-sale/5060/tamines/vbd84109
